age,target_n,risk0,risk1,rd,rr,se_risk0,se_risk1,se_rd,se_log_rr,risk0_lower,risk0_upper,risk1_lower,risk1_upper,rd_lower,rd_upper,rr_lower,rr_upper,risk0_per1000,risk1_per1000,rd_per1000,risk0_lower_per1000,risk0_upper_per1000,risk1_lower_per1000,risk1_upper_per1000,rd_lower_per1000,rd_upper_per1000,rd_bonferroni_lower_per1000,rd_bonferroni_upper_per1000
15,1199,0.0732933540090058,0.0659799932269797,-0.00731336078202605,0.900217954534767,0.00335795528465076,0.00210283971100579,0.00395943624761549,0.05577202685703,0.0669779472838719,0.0801530894158751,0.0619762113465465,0.0702230636760321,-0.0150737132264348,0.000446991662382728,0.807001673280925,1.00420159275761,73.2933540090058,65.9799932269797,-7.31336078202605,66.9779472838719,80.1530894158751,61.9762113465465,70.2230636760321,-15.0737132264348,0.446991662382728,-19.7996930633966,5.17297149934447
16,4170,0.0745564975828868,0.0663290800602946,-0.00822741752259223,0.889648551242022,0.00266956425631173,0.00165783623981544,0.003140163045241,0.0436332872026846,0.0694901279994184,0.0799605034918503,0.06315278192865,0.0696532541280071,-0.0143820239968482,-0.00207281104833625,0.816728582292434,0.969079032970144,74.5564975828868,66.3290800602946,-8.22741752259223,69.4901279994184,79.9605034918503,63.15278192865,69.6532541280071,-14.3820239968482,-2.07281104833625,-18.1301200156991,1.67528497051461
17,11232,0.0763884367545807,0.0672315409162996,-0.00915689583828109,0.880127199517118,0.00201770797553716,0.00124474949614262,0.00236864332919096,0.0322258927092587,0.0725265111229864,0.080438169069024,0.0648325683703464,0.0697126643630762,-0.0137993514557164,-0.00451444022084576,0.826256165241691,0.937510568654283,76.3884367545807,67.2315409162996,-9.15689583828109,72.5265111229864,80.438169069024,64.8325683703464,69.7126643630762,-13.7993514557164,-4.51444022084576,-16.6265621783166,-1.68722949824555
18,29922,0.0795174249997921,0.0693450950760196,-0.0101723299237725,0.872074203562312,0.00145479362387806,0.000893924372208615,0.00170873629791633,0.0223978911965133,0.0767123837943966,0.0824158788690922,0.0676133882797036,0.0711177711898433,-0.0135213915267648,-0.00682326832078021,0.834619102447102,0.911210172747085,79.5174249997922,69.3450950760196,-10.1723299237725,76.7123837943966,82.4158788690922,67.6133882797036,71.1177711898433,-13.5213915267648,-6.82326832078021,-15.5609377615352,-4.7837220860099
19,60774,0.0822742553811607,0.0712317209482078,-0.0110425344329529,0.865783842323519,0.00101726822848592,0.000624211961116753,0.0011953353685845,0.0151793294268773,0.0803023125268865,0.0842901841752188,0.0700179466718247,0.0724648966991232,-0.0133853487048255,-0.00869972016108039,0.840405348945988,0.891928713410237,82.2742553811607,71.2317209482078,-11.0425344329529,80.3023125268865,84.2901841752188,70.0179466718247,72.4648966991232,-13.3853487048255,-8.69972016108039,-14.8121000141159,-7.27296885178991
20,82205,0.0817879541032269,0.0704485966566773,-0.0113393574465496,0.8613566316595,0.000774276266194955,0.000470011105639285,0.000909117903916328,0.011627061493907,0.0802831686585683,0.0833183893334781,0.0695329398869664,0.0713753864552782,-0.0131211957959261,-0.00955751909717301,0.841949472247753,0.88121113126071,81.7879541032269,70.4485966566773,-11.3393574465496,80.2831686585683,83.3183893334781,69.5329398869664,71.3753864552782,-13.1211957959261,-9.55751909717301,-14.2063181756379,-8.47239671746126
21,96740,0.0811574542257124,0.0697691930908622,-0.0113882611348502,0.859676954587837,0.000730377058597372,0.000437630499444332,0.000856001846826834,0.0110321282544041,0.0797374028547672,0.0826005254793063,0.0689163149068931,0.0706318254337082,-0.0130659939253306,-0.00971052834436985,0.841288050151089,0.878467804358674,81.1574542257124,69.7691930908622,-11.3882611348502,79.7374028547672,82.6005254793063,68.9163149068931,70.6318254337082,-13.0659939253306,-9.71052834436985,-14.0877170231433,-8.68880524655714
22,110682,0.0798950386384116,0.0687737748757867,-0.0111212637626248,0.860801572260859,0.000709916851065258,0.000424374584070977,0.000831924582793861,0.0108853327146134,0.0785146447718485,0.081297560563046,0.0679466598347262,0.0696102064305395,-0.0127518059827543,-0.00949072154249535,0.842631013552196,0.879363962267533,79.8950386384116,68.7737748757867,-11.1212637626248,78.5146447718485,81.297560563046,67.9466598347262,69.6102064305395,-12.7518059827543,-9.49072154249535,-13.7447904780911,-8.49773704715858
23,119247,0.0791689137463717,0.068484603575539,-0.0106843101708327,0.865044123188789,0.000650224639179124,0.0003896986311372,0.000763242237929219,0.01006423471341,0.0779038359216876,0.0804527427060985,0.0677247431340038,0.0692523562240615,-0.0121802374686537,-0.00918838287301169,0.848147854680039,0.88227698853964,79.1689137463717,68.484603575539,-10.6843101708327,77.9038359216876,80.4527427060985,67.7247431340039,69.2523562240615,-12.1802374686537,-9.18838287301169,-13.0912427738518,-8.27737756781367
24,125425,0.0788266417563668,0.0687417688593728,-0.010084872896994,0.872062634252975,0.000575238248605341,0.000342838923168735,0.000675543727598594,0.0089212782307448,0.0777065428589921,0.0799614864866556,0.0680728510706768,0.0694167701537277,-0.0114089142730692,-0.00876083152091884,0.85694682220761,0.887445076348035,78.8266417563668,68.7417688593728,-10.084872896994,77.7065428589921,79.9614864866556,68.0728510706768,69.4167701537277,-11.4089142730692,-8.76083152091884,-12.2152427087246,-7.95450308526347
